Exolelixixime north=Mosme south=Dasmino east=Egalusmo west=Eninodu
Dodexa north=Egilege south=Musnasme east=Musnalnu west=Axagosnu
Mosno north=Molmino south=Masmiga east=Dexemisnu west=Anudinilne
Damaxa north=Amimosmixe south=Egenu-Da east=Mo-Esna
Malamismu north=Emusma south=Dale east=Enisna west=Dismime
Mosnu north=Dasmimu south=Milamo east=Agolo west=Milosnilisma
Agana north=Amodolixo south=Disnela east=Delega west=Axismisne
Musmemo north=Aninixa south=Alno-Digo east=Enilmimu west=Anolulmime
Dodexe north=Axo-Enu south=Egilege east=Mulmosne west=Exaxaxu
Dasninu north=Amelme south=Melenimu east=Esneme west=Dismesnisme
Denalimo north=Axu-Emo south=Dalnusmu east=Masnaga west=Desno
Dusmolnina north=Masmigu south=Musnola east=Dilixe west=Anu-Esnu
Digama north=Mimemu south=Mimixe east=Modimixo west=Enulne
Mosna north=Dusmudino south=Amino-Mo east=Mola west=Dusnaxe
Dulosmo north=Egesma south=Egesmo east=Anigega west=Aminexa
Minu-A north=Minu-E south=Exigusno east=Dinigu west=Male
Mosne north=Amino-Mo south=Ememo-E east=Dexesne west=Elnesnu
Exasme north=Dismemiga south=Mudino east=Elma west=Mulnulnixe
Minu-E north=Dimalne south=Minu-A east=Elne west=Mudela
Delnusmu north=Daxege south=Dasnalo east=Dulnexo west=Masne
Exasma north=Mudino south=Exigismo east=Agusme west=Axudosmu
Diga north=Ago-Da south=Malusma east=Egosnu west=Elo-Ago
Mosmo north=Dalmaxo south=Desnaxe east=Alne west=Emodalo
Do-Dinu north=Anenudu south=Agulo east=Denena west=Dasmagixe
Aganu north=Mo-Exixe south=Digalnu east=Degulninu west=Melmu-Do
Dusnesmu north=Dusnusmigu east=Elexano west=Minalu
Mosmu north=Emelama east=Alna west=Memismu
Denosme north=Elninilmo south=Emismu east=Alosna west=Anesnina
Denosmo north=Mo-Mismisne south=Dimege east=Musmu-Dixo west=Mamoda
Degila north=Agodelme south=Musmale east=Eganelu west=Alisna
Digana north=Digano south=Migodu east=Agixule west=Alasmila
Mosma north=Daminisnigu south=Eno-Axa east=Degilo west=Dosnaxo
Daxaxa north=Egeludo south=Amulnu east=Demisna west=Anolesno
Mosme north=Esmelma south=Exolelixixime east=Enolelo west=Masmolne
Musmema north=Mu-Dagime south=Anodule east=Anodo-De west=Deligu
Denosmu north=Dasmino south=Demodine east=Alno west=Degosnine
Damaxo south=Exexuda east=Dageno west=Mixulmu
Dolnaxo north=Elnixo south=Do-Aliga east=Melege west=Manixiga
Damaxu north=Axixime south=Milemu east=Anenemino west=Disnime
Digano south=Digana east=Mimiga west=Menagina
A north=Emodulna south=Mexime east=Axaxame west=Amesne
Exasno north=Emu-Mu south=Asnula east=Anodo west=Mudo-Mimo
Molixo north=Dagule south=Dagula east=Alu-Mu west=Dodemu
E north=Mimaxu south=Dolodu east=Mu-Demigu west=Aligulnu
Aximaxe north=Dosmo south=Migixe east=Enigale west=Mago-Dine
Dulolina north=Dusnasme south=Egelemu east=Dolaxa west=Ego-Esme
Agimalisna north=Mamiga south=Esnusmixu east=Elelimo west=Egaxudo
Agala north=Amasne south=Mudu east=Menolma west=Enano
Enemesma north=Mu-Esnu south=Amo-Digu east=Asmana west=Milo
Egu-Dino north=Dagegila south=Egagasnixu east=Esmane west=Dinaxe
Emagasmo north=Ano-Do south=Milnisne east=Esnilma west=Manelu
Asnamixe north=Mo-Mo south=Modenu east=Daneline west=Axusmimu
Molixe north=Molixa south=Du-Dagu east=Alu-Mo west=Dudanu
Meluda north=Emolaga south=Agalude east=Alaxine west=Analusmile
Mulmodo north=Migasnigixu south=Do-Dismiga east=Masmilo west=Asmolmilna
Emaxixu north=Exodanu south=Eminigu east=Dismago west=Asnu-E
Agalo north=Mudu south=Exu-Age east=Mu-Deno west=Mo-Misma
Molixa north=Amamole south=Molixe east=Menagile west=Mudinu
Agalu north=Exu-Age south=Mixola east=Alesnu west=Dixalma
Dige north=Dimana south=Ago-Da east=Axagaxo west=Doludo
Ememusma north=Egilegu south=Anago-A east=Modagu west=Dolaxe
Digo north=Mixu-E south=Emegalu east=Egexulisnu west=Esnisnixe
Masnisnu north=Emegegu south=Exolnu east=Manixiga west=Emodosmo
Digu north=Du-Du-Dilo south=Dulnelme east=Dulamu west=Amilna
